game,year_month,negative_reviews,positive_reviews,update_events
baldur's gate 3,2023-08,4712,30859,"DLC, News, Patch/Fix"
baldur's gate 3,2023-09,1902,13980,"News, Patch/Fix"
baldur's gate 3,2023-10,809,6146,"News, Patch/Fix"
baldur's gate 3,2023-11,1326,13572,"News, Patch/Fix"
baldur's gate 3,2023-12,646,5114,"DLC, News, Patch/Fix"
baldur's gate 3,2024-01,734,5255,Patch/Fix
baldur's gate 3,2024-02,334,3058,Patch/Fix
baldur's gate 3,2024-03,259,2300,Patch/Fix
baldur's gate 3,2024-04,151,1535,Patch/Fix
baldur's gate 3,2024-05,144,1476,No Events
baldur's gate 3,2024-06,149,1292,Patch/Fix
baldur's gate 3,2024-07,169,1585,Patch/Fix
baldur's gate 3,2024-08,119,1245,No Events
baldur's gate 3,2024-09,208,1872,"DLC, Patch/Fix"
baldur's gate 3,2024-10,173,1270,"News, Patch/Fix"
baldur's gate 3,2024-11,234,2481,"News, Patch/Fix"
baldur's gate 3,2024-12,269,3305,Patch/Fix
baldur's gate 3,2025-01,172,1392,Patch/Fix
baldur's gate 3,2025-02,126,1212,No Events
baldur's gate 3,2025-03,131,1262,No Events
baldur's gate 3,2025-04,173,1700,Patch/Fix
baldur's gate 3,2025-05,0,0,Patch/Fix
dragon age: inquisition,2020-06,133,231,No Events
dragon age: inquisition,2020-07,36,119,No Events
dragon age: inquisition,2020-08,22,53,News
dragon age: inquisition,2020-09,56,160,No Events
dragon age: inquisition,2020-10,51,108,No Events
dragon age: inquisition,2020-11,56,258,No Events
dragon age: inquisition,2020-12,88,236,No Events
dragon age: inquisition,2021-01,74,188,No Events
dragon age: inquisition,2021-02,73,170,No Events
dragon age: inquisition,2021-03,46,146,No Events
dragon age: inquisition,2021-04,25,103,No Events
dragon age: inquisition,2021-05,79,161,No Events
dragon age: inquisition,2021-06,65,162,No Events
dragon age: inquisition,2021-07,71,184,No Events
dragon age: inquisition,2021-08,40,133,No Events
dragon age: inquisition,2021-09,47,154,No Events
dragon age: inquisition,2021-10,36,88,No Events
dragon age: inquisition,2021-11,36,121,No Events
dragon age: inquisition,2021-12,75,169,No Events
dragon age: inquisition,2022-01,74,203,No Events
dragon age: inquisition,2022-02,33,105,No Events
dragon age: inquisition,2022-03,46,111,No Events
dragon age: inquisition,2022-04,32,104,No Events
dragon age: inquisition,2022-05,18,84,No Events
dragon age: inquisition,2022-06,63,172,No Events
dragon age: inquisition,2022-07,46,150,No Events
dragon age: inquisition,2022-08,25,106,No Events
dragon age: inquisition,2022-09,47,116,No Events
dragon age: inquisition,2022-10,24,82,No Events
dragon age: inquisition,2022-11,34,91,No Events
dragon age: inquisition,2022-12,52,181,No Events
dragon age: inquisition,2023-01,67,184,No Events
dragon age: inquisition,2023-02,44,123,No Events
dragon age: inquisition,2023-03,37,89,No Events
dragon age: inquisition,2023-04,50,102,No Events
dragon age: inquisition,2023-05,68,139,No Events
dragon age: inquisition,2023-06,48,104,No Events
dragon age: inquisition,2023-07,46,114,No Events
dragon age: inquisition,2023-08,49,88,No Events
dragon age: inquisition,2023-09,58,115,No Events
dragon age: inquisition,2023-10,28,91,No Events
dragon age: inquisition,2023-11,35,98,No Events
dragon age: inquisition,2023-12,39,110,No Events
dragon age: inquisition,2024-01,34,99,No Events
dragon age: inquisition,2024-02,21,87,No Events
dragon age: inquisition,2024-03,42,94,No Events
dragon age: inquisition,2024-04,33,76,No Events
dragon age: inquisition,2024-05,54,106,No Events
dragon age: inquisition,2024-06,142,234,News
dragon age: inquisition,2024-07,82,204,No Events
dragon age: inquisition,2024-08,70,198,No Events
dragon age: inquisition,2024-09,49,162,No Events
dragon age: inquisition,2024-10,58,151,No Events
dragon age: inquisition,2024-11,59,185,No Events
dragon age: inquisition,2024-12,45,155,No Events
dragon age: inquisition,2025-01,36,125,No Events
dragon age: inquisition,2025-02,25,71,No Events
dragon age: inquisition,2025-03,30,73,No Events
dragon age: inquisition,2025-04,24,56,No Events
elden ring,2022-02,1191,2928,No Events
elden ring,2022-03,2417,12145,No Events
elden ring,2022-04,963,5506,News
elden ring,2022-05,371,2204,News
elden ring,2022-06,189,1156,News
elden ring,2022-07,133,907,No Events
elden ring,2022-08,99,755,News
elden ring,2022-09,70,552,News
elden ring,2022-10,75,461,News
elden ring,2022-11,172,2013,News
elden ring,2022-12,137,913,"News, Patch/Fix"
elden ring,2023-01,169,1173,No Events
elden ring,2023-02,103,776,News
elden ring,2023-03,96,778,Patch/Fix
elden ring,2023-04,76,482,Patch/Fix
elden ring,2023-05,43,384,No Events
elden ring,2023-06,41,324,No Events
elden ring,2023-07,97,569,News
elden ring,2023-08,65,424,No Events
elden ring,2023-09,48,331,No Events
elden ring,2023-10,56,435,News
elden ring,2023-11,63,430,No Events
elden ring,2023-12,63,470,News
elden ring,2024-01,93,685,News
elden ring,2024-02,53,474,News
elden ring,2024-03,76,514,No Events
elden ring,2024-04,41,390,No Events
elden ring,2024-05,44,464,"DLC, News"
elden ring,2024-06,319,2041,"DLC, News, Patch/Fix"
elden ring,2024-07,356,2024,News
elden ring,2024-08,63,634,News
elden ring,2024-09,56,583,"News, Patch/Fix"
elden ring,2024-10,63,486,"News, Patch/Fix"
elden ring,2024-11,37,619,News
elden ring,2024-12,109,899,News
elden ring,2025-01,83,621,No Events
elden ring,2025-02,44,505,News
elden ring,2025-03,74,694,No Events
elden ring,2025-04,104,597,News
elden ring,2025-05,0,0,News
god of war,2021-10,0,0,News
god of war,2021-12,0,0,News
god of war,2022-01,1419,13315,"News, Patch/Fix"
god of war,2022-02,379,4070,Patch/Fix
god of war,2022-03,153,1483,Patch/Fix
god of war,2022-04,87,899,No Events
god of war,2022-05,75,707,No Events
god of war,2022-06,122,982,Patch/Fix
god of war,2022-07,173,1653,No Events
god of war,2022-08,116,1049,No Events
god of war,2022-09,152,1175,News
god of war,2022-10,139,1200,No Events
god of war,2022-11,591,5939,No Events
god of war,2022-12,510,4127,No Events
god of war,2023-01,371,3380,News
god of war,2023-02,171,1402,No Events
god of war,2023-03,121,1034,No Events
god of war,2023-04,112,910,No Events
god of war,2023-05,85,603,Patch/Fix
god of war,2023-06,89,818,News
god of war,2023-07,105,855,No Events
god of war,2023-08,67,590,News
god of war,2023-09,86,720,No Events
god of war,2023-10,62,502,No Events
god of war,2023-11,76,667,No Events
god of war,2023-12,217,1739,No Events
