,Unnamed: 0,timestamp_created,game,review,voted_up,weighted_vote_score,language,author,release_year,reviews_year,reviews_month,reviews_day,sentiment,processed_review,steamid,playtime_at_review_minutes,playtime_in_hours,player_category
504349,505802,2020-01-03 02:55:30,The Witcher 3: Wild Hunt,yes,True,0.5238095521926879,english,"{'steamid': '76561198021583697', 'num_games_owned': 0, 'num_reviews': 20, 'playtime_forever': 11121, 'playtime_last_two_weeks': 0, 'playtime_at_review': 5643, 'last_played': 1731151566}",2015,2020,1,3,Positive,yes,76561198021583697,5643.0,94.05,Experienced Player
259511,260334,2023-12-14 04:27:13,Elden Ring,"Holy shit I love this game. There's a reason 92% of half-a-million reviewers gave this game a thumbs up on Steam (at time of writing). The multiplayer system leaves much to be desired, but otherwise, Elden Ring is incredibly creative, ruthlessly expansive, and deeply compelling. Every area of the map feels so intriguing. I want to see everything. Kill everything. This is one of the greatest video games that has ever been made.",True,0.5,english,"{'steamid': '76561198082097742', 'num_games_owned': 0, 'num_reviews': 22, 'playtime_forever': 40374, 'playtime_last_two_weeks': 0, 'playtime_at_review': 25371, 'last_played': 1741491392}",2022,2023,12,14,Positive,holy shit i love this game theres a reason of halfamillion reviewers gave this game a thumbs up on steam at time of writing the multiplayer system leaves much to be desired but otherwise elden ring is incredibly creative ruthlessly expansive and deeply compelling every area of the map feels so intriguing i want to see everything kill everything this is one of the greatest video games that has ever been made,76561198082097742,25371.0,422.85,Experienced Player
399427,400251,2023-11-23 20:24:47,The Witcher 3: Wild Hunt,Auch 8 Jahre später immer noch großartig.,True,0.5,english,"{'steamid': '76561198347358251', 'num_games_owned': 0, 'num_reviews': 12, 'playtime_forever': 3132, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2593, 'last_played': 1728502595}",2015,2023,11,23,Positive,auch jahre später immer noch großartig,76561198347358251,2593.0,43.22,Experienced Player
440861,442289,2020-01-03 20:25:11,The Witcher 3: Wild Hunt,Toss a coin to your Witcher,True,0.5,english,"{'steamid': '76561198363191319', 'num_games_owned': 0, 'num_reviews': 5, 'playtime_forever': 4261, 'playtime_last_two_weeks': 0, 'playtime_at_review': 870, 'last_played': 1659046521}",2015,2020,1,3,Negative,toss a coin to your witcher,76561198363191319,870.0,14.5,Experienced Player
117223,117607,2020-10-28 22:09:21,Sekiro: Shadows Die Twice,Great game for people who enjoy the Dark Souls series.,True,0.4761904776096343,english,"{'steamid': '76561197993836519', 'num_games_owned': 495, 'num_reviews': 22, 'playtime_forever': 2461, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2347, 'last_played': 1643744510}",2019,2020,10,28,Positive,great game for people who enjoy the dark souls series,76561197993836519,2347.0,39.12,Experienced Player
296821,297645,2022-02-07 02:14:17,The Witcher 3: Wild Hunt,"The story/lore of the Witcher is amazing. The game definitely lives up to the books. The side missions, Witcher contracts, treasure hunts, all this are great additions to the game. Tons of great side quests which would definitely get you thinking about the Witcher universe. A lot of funny stuff in the game. Great game mechanics. The 2 DLC's are amazing too (Blood and Wine is the better one).

They've definitely outdone themselves. 100/10 game for sure. You wont waste your money :)",True,0.5,english,"{'steamid': '76561198202039981', 'num_games_owned': 0, 'num_reviews': 44, 'playtime_forever': 11217, 'playtime_last_two_weeks': 0, 'playtime_at_review': 11217, 'last_played': 1644174077}",2015,2022,2,7,Positive,the storylore of the witcher is amazing the game definitely lives up to the books the side missions witcher contracts treasure hunts all this are great additions to the game tons of great side quests which would definitely get you thinking about the witcher universe a lot of funny stuff in the game great game mechanics the dlcs are amazing too blood and wine is the better one theyve definitely outdone themselves game for sure you wont waste your money,76561198202039981,11217.0,186.95,Experienced Player
409994,410818,2021-05-10 18:56:22,The Witcher 3: Wild Hunt,very good much yes,True,0.5,english,"{'steamid': '76561199057402346', 'num_games_owned': 250, 'num_reviews': 23, 'playtime_forever': 1040, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1040, 'last_played': 1620130006}",2015,2021,5,10,Positive,very good much yes,76561199057402346,1040.0,17.33,Experienced Player
446860,448288,2020-09-05 15:36:26,The Witcher 3: Wild Hunt,Absolute masterpiece,True,0.5238095521926879,english,"{'steamid': '76561198390504006', 'num_games_owned': 149, 'num_reviews': 13, 'playtime_forever': 4926, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3464, 'last_played': 1604941930}",2015,2020,9,5,Positive,absolute masterpiece,76561198390504006,3464.0,57.73,Experienced Player
160512,161111,2020-12-01 16:53:41,Sekiro: Shadows Die Twice,Good,True,0.5,english,"{'steamid': '76561198143304214', 'num_games_owned': 78, 'num_reviews': 2, 'playtime_forever': 7416, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1220, 'last_played': 1707604518}",2019,2020,12,1,Positive,good,76561198143304214,1220.0,20.33,Experienced Player
600327,601847,2023-08-08 08:18:40,Baldur's Gate 3,"The farther I get the more impressed I am, this game is fantastic. It has some minor frustrations and bugs but nothing that can take away from how amazing of an experience it is. The only thing I can truly be negative about is the character creator needs better options for faces.",True,0.5,english,"{'steamid': '76561198079552966', 'num_games_owned': 0, 'num_reviews': 14, 'playtime_forever': 15088, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3465, 'last_played': 1732674391}",2023,2023,8,8,Positive,the farther i get the more impressed i am this game is fantastic it has some minor frustrations and bugs but nothing that can take away from how amazing of an experience it is the only thing i can truly be negative about is the character creator needs better options for faces,76561198079552966,3465.0,57.75,Experienced Player
542695,544215,2023-08-12 13:11:39,Baldur's Gate 3,"There's a lot Larian did well with this, but after playing it for 20~ hours I can confidently say it wasn't ready for release. 



Let me preface this next part - I have a very good computer, far exceeding the recommended:
Poor performance, hitching, frame drops, bad pathing, bad AI for companions/allies, missing textures, crashes, and save destroying bugs come to mind right off the bat. These are all things that needed at least 6 more months of polish, and had no excuse being here in a 1.0 release of a game. 

◘ Loading times are oddly long despite being on a high end SSD. hitching/frame drops are a common occurrence, just as common as seeing a camera change happen (revealing your weird, derpy, over expressive face). 

◘ AI party members make... dubious pathing choices, and get caught on terrain constantly - and allied AI fare ever worse, hucking healing potions at enemies or running through a sea of fire to stare menacingly at an enemy (when a jump would have avoided all damage).

◘ Game objects and textures will sometimes decide that you no longer deserve to observe them, disappearing despite existing mere seconds ago - or in some cases just replacing themselves entirely with a white textureless replica. I had a whole floor to a house disappear once, made navigating it quite a challenge. One time the floating UI for checks ran away, only able to be heard.

◘ The game is mostly stable, but does crash more than it really should. And, though not having experienced this myself yet, there were 2 major save destroying bugs that have been happening to people that have almost a hundred or more hours in. 



Gameplay wise, D&D 5e (and D&D in general) is really a painful base for a game when your DM is an uncompromising inflexible computer, and not your friend Gary who can tweak encounters, checks, story elements, and etc on the fly,  Larian already has compromised with this, and tweaked it heavily to make it more engaging and enjoyable - it still doesn't hold a candle to their last title, Divinity Original Sin 2. 

◘ Combat is, at best, clunky and frustrating. After a few fights, you learn the best option is not to walk - never [i]ever[/i] walk - into any fight. Stop right in your tracks, and spend the next minute preparing your every plan of attack, buff up, start the fight, and then immediately get dinked by an arrow and lose concentration, dropping your expensive buff spell and making all your planning and forethought worthless. But what's the alternative? Walk in and do it mid fight, when the battle has changed and they've exhausted some of their skills and abilities? No, because...

◘ Your action economy sucks. You have 1 action and 1 bonus action. Forget doing a buff and taking advantage of it, because right after your turn 2 people have hit/shot you, one cast grease and you went prone, and another just shoved you. Your buffs are gone, nice wasted turn moron. Ah well, at least you can get a normal hit i- miss. you only had a 55% base chance to hit. Nice wasted turn, double moron. Ok, well you'll use a big level 2 - no, level 3 spell! 55% chance to hit too, and you missed, and that was your only level 3 slot. Also all 8 of them just landed all their hits and your 26hp pool is now 0, because none of your attacks hit or broke concentration on their buffs.

◘ So, if the complete halt in gameplay of buffing and preparing for a minute before walking in, failing miserably, reloading, and doing it all again wasn't bad enough, after nearly each fight you're gonna need a long rest buddy. Load into camp, exhaust the 1 new piece of dialogue from each member, go to bed and watch the cutscene, wake up, leave camp and load back to main map, and [i]now[/i] you can continue your journey. It's such a massive halt to the pacing of the game, constantly fidgeting with long rests and camp. And additionally, with how often you do it and (presumably) how far away you go to do it sometimes, you're wasting a ton of time in a story that has you so narratively pressed for time (in many multiple ways).

◘Shoving and jumping are insane. Jumping is the solution to most problems of distance or of terrain, be it grease, fire, height, or bad pathing around rocks or shrubs. Jumping being a cost of 3m+bonus action means everyone is playing super Mario bros all over Faerûn. Shoving is also a bonus action, which means that your melee character that just waded into 3 casters to pin them down and mess up their casting rolls? They all try to shove you, and they will succeed, and you will be rendered pathetic and displaced. Are you a caster that just put 2 people to sleep? No you didn't, they just got shoved - and then after that they blasted you with spells, nullifying all your work and also damaging you [i]in one turn[/i].



Coming from DoS2, the pacing of gameplay and combat just feels like I'm wading through molasses while being bludgeoned. It's hugely frustrating having a character who's melee, be in the thick of things, not needing to move, and not getting to do anything more because it's a totally separate resource now from actions. - or a caster set up in a good spot casting only 1 spell instead of 3. You get the picture. And I am well aware you get more actions as you go up in level, or you can use speed potions. This doesn't change the core experience greatly, and it sure as hell doesn't change the experience in the first 16~ hours.

Story wise and Character wise? The game is great - Larian knocks it out of the park (except for when they cut to a close up of my mute weirdo, and it looks like he's about to make a cringey marvel quip while listening to someone crying about their lost child). It's just a certain few things about this game are unpolished or are just critically poor choices. And in the interest of keeping this list of problems short, I didn't even list the numerous other small annoyances I had while playing. 

[b]Wait for a robust modding scene or wait for Larian to address a lot of these problems, if they are things you care about.[/b]",False,0.5132743716239929,english,"{'steamid': '76561197990996822', 'num_games_owned': 529, 'num_reviews': 31, 'playtime_forever': 1203, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1203, 'last_played': 1691822499}",2023,2023,8,12,Negative,theres a lot larian did well with this but after playing it for hours i can confidently say it wasnt ready for release let me preface this next part i have a very good computer far exceeding the recommended poor performance hitching frame drops bad pathing bad ai for companionsallies missing textures crashes and save destroying bugs come to mind right off the bat these are all things that needed at least more months of polish and had no excuse being here in a release of a game loading times are oddly long despite being on a high end ssd hitchingframe drops are a common occurrence just that have almost a hundred or more hours in gameplay wise dd e and dd in general is really a painful base for a game when your dm is an uncompromising inflexible computer and not your friend gary who can tweak encounters checks story elements and etc on the fly larian already has compromised with this and tweaked it heavily to make it more engaging and enjoyable it still doesnt hold a candle to their last title divinity original sin combat is at best clunky and frustrating after a few fights you learn the best option is not to walk never ieveri walk level spell chance to hit too and you missed and that was your only level slot also all of them just landed all their hits and your hp pool is now because none of your attacks hit or broke concentration on their buffs so if the complete halt in gameplay of buffing and preparing for a minute before walking in failing miserably reloading and doing it all again wasnt bad enough after nearly each fight youre gonna need a long rest buddy load into camp exhaust the new piece of dialogue from each member go to bed and watch the cutscene wake up leave camp and load back to main map and inowi you great larian knocks it out of the park except for when they cut to a close up of my mute weirdo and it looks like hes about to make a cringey marvel quip while listening to someone crying about their lost child its just a certain few things about this game are unpolished or are just critically poor choices and in the interest of keeping this list of problems short i didnt even list the numerous other small annoyances i had while playing bwait for a robust modding scene or wait for larian to address a lot of these problems if they are things you care aboutb,76561197990996822,1203.0,20.05,Experienced Player
29247,29303,2022-01-19 02:42:55,God of War,I bought this game to be a god and kill shit... 10/10. Just absolute gem of a game. I cant wait for Ragnarok to come out.,True,0.5,english,"{'steamid': '76561198120613698', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 4188, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3650, 'last_played': 1642780465}",2018,2022,1,19,Positive,i bought this game to be a god and kill shit just absolute gem of a game i cant wait for ragnarok to come out,76561198120613698,3650.0,60.83,Experienced Player
584002,585522,2023-09-04 16:10:33,Baldur's Gate 3,"Quite frankly one of the best games i've ever played so much love went into this and it really shows right up until the credits roll.

Character development for yourself is so good that you do get lost in the character you make and some choices that are available surprised me because I was like wow you can actually do that!? I can't say much about it because spoilers but trust me when I say Larian really put the effort into this game.

Combat is peak it's so fun if you like DND and turn based combat systems, you can do a lot in and out of combat to help swing things in your favour (or completely screw yourself) even stuff as simple as using telekinesis to drop random objects can cause massive consequences that may or may not help, the game is brim full of exploration and random quests and goodies to find that unless you really scoured it i imagine you'll still find stuff that is new every playthrough.

The story itself I wish I could say so much about without dropping huge spoilers but it's just so good and every choice does effect you in some way or your companions right up until the end I was entirely lost in this game for a good 100 hours and I loved every second of it.

10/10, 1000x times over",True,0.5,english,"{'steamid': '76561198026491661', 'num_games_owned': 0, 'num_reviews': 72, 'playtime_forever': 15087, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2852, 'last_played': 1738524368}",2023,2023,9,4,Positive,quite frankly one of the best games ive ever played so much love went into this and it really shows right up until the credits roll character development for yourself is so good that you do get lost in the character you make and some choices that are available surprised me because i was like wow you can actually do that i cant say much about it because spoilers but trust me when i say larian really put the effort into this game combat is peak its so fun if you like dnd and turn based combat systems you can do a lot in and out of combat to help swing things in your favour or completely screw yourself even stuff as simple as using telekinesis to drop random objects can cause massive consequences that may or may not help the game is brim full of exploration and random quests and goodies to find that unless you really scoured it i imagine youll still find stuff that is new every playthrough the story itself i wish i could say so much about without dropping huge spoilers but its just so good and every choice does effect you in some way or your companions right up until the end i was entirely lost in this game for a good hours and i loved every second of it x times over,76561198026491661,2852.0,47.53,Experienced Player
356812,357636,2024-10-02 05:22:56,The Witcher 3: Wild Hunt,"love the witcher games, running this shi on an intel uhd 620

edit: 120hrs into the game, addictive and beautiful.",True,0.5,english,"{'steamid': '76561199061433589', 'num_games_owned': 78, 'num_reviews': 7, 'playtime_forever': 10580, 'playtime_last_two_weeks': 0, 'playtime_at_review': 7752, 'last_played': 1744523100}",2015,2024,10,2,Positive,love the witcher games running this shi on an intel uhd edit hrs into the game addictive and beautiful,76561199061433589,7752.0,129.2,Experienced Player
483852,485301,2024-01-02 23:16:56,The Witcher 3: Wild Hunt,the best game,True,0.5,english,"{'steamid': '76561199504194001', 'num_games_owned': 53, 'num_reviews': 3, 'playtime_forever': 4933, 'playtime_last_two_weeks': 0, 'playtime_at_review': 863, 'last_played': 1738155467}",2015,2024,1,2,Positive,the best game,76561199504194001,863.0,14.38,Experienced Player
105695,106079,2023-04-29 07:01:06,Sekiro: Shadows Die Twice,its my favorite game of all time once the combat clicks you wont be able to put it down,True,0.5,english,"{'steamid': '76561198102772828', 'num_games_owned': 81, 'num_reviews': 8, 'playtime_forever': 5867, 'playtime_last_two_weeks': 0, 'playtime_at_review': 5387, 'last_played': 1724624908}",2019,2023,4,29,Positive,its my favorite game of all time once the combat clicks you wont be able to put it down,76561198102772828,5387.0,89.78,Experienced Player
7274,7274,2021-09-12 15:44:50,Dragon Age: Inquisition,Everything about a good RPG is in this game.,True,0.5,english,"{'steamid': '76561199184222782', 'num_games_owned': 0, 'num_reviews': 8, 'playtime_forever': 4262, 'playtime_last_two_weeks': 0, 'playtime_at_review': 680, 'last_played': 1711505766}",2014,2021,9,12,Positive,everything about a good rpg is in this game,76561199184222782,680.0,11.33,Experienced Player
85490,85874,2024-11-27 08:09:09,Sekiro: Shadows Die Twice,"It's probably a good game, mechanically it works just fine and it has a lot of depth.

AND

I love the soulsborne games so so much but this one is just way too arcadey for me, (as far as I know) there are no additional cosmetics, weapons (swords) or any cool stuff to change it up.

But all you do is bang your head against the wall untill you beat X enemy/boss...

And I don't want to get gud for this game it's just painful for me -_-",False,0.5,english,"{'steamid': '76561199000996512', 'num_games_owned': 0, 'num_reviews': 5, 'playtime_forever': 342, 'playtime_last_two_weeks': 0, 'playtime_at_review': 342, 'last_played': 1729624379}",2019,2024,11,27,Positive,its probably a good game mechanically it works just fine and it has a lot of depth and i love the soulsborne games so so much but this one is just way too arcadey for me as far as i know there are no additional cosmetics weapons swords or any cool stuff to change it up but all you do is bang your head against the wall untill you beat x enemyboss and i dont want to get gud for this game its just painful for me _,76561199000996512,342.0,5.7,Experienced Player
301964,302788,2024-09-13 14:25:23,The Witcher 3: Wild Hunt,"Incredible game, one of the best ever!  Still very relevant and playable today.  Runs great on the Steam Deck.  Just play it!",True,0.5473250746726989,english,"{'steamid': '76561197961934443', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 6201, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3515, 'deck_playtime_at_review': 3515, 'last_played': 1730474150}",2015,2024,9,13,Positive,incredible game one of the best ever still very relevant and playable today runs great on the steam deck just play it,76561197961934443,3515.0,58.58,Experienced Player
397171,397995,2020-04-18 10:15:18,The Witcher 3: Wild Hunt,One of the best games I've played.  highly recommended and well worth the money,True,0.5,english,"{'steamid': '76561198112223460', 'num_games_owned': 0, 'num_reviews': 3, 'playtime_forever': 25458, 'playtime_last_two_weeks': 0, 'playtime_at_review': 5980, 'last_played': 1736947390}",2015,2020,4,18,Positive,one of the best games ive played highly recommended and well worth the money,76561198112223460,5980.0,99.67,Experienced Player
485412,486861,2018-07-03 15:18:34,The Witcher 3: Wild Hunt,Good game,True,0.5,english,"{'steamid': '76561198237504906', 'num_games_owned': 156, 'num_reviews': 20, 'playtime_forever': 3272, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2109, 'last_played': 1728664156}",2015,2018,7,3,Positive,good game,76561198237504906,2109.0,35.15,Experienced Player
339916,340740,2021-09-08 18:15:56,The Witcher 3: Wild Hunt,Good game. Excellent cut scenes. Realistic acting.,True,0.5,english,"{'steamid': '76561197981733484', 'num_games_owned': 0, 'num_reviews': 20, 'playtime_forever': 494, 'playtime_last_two_weeks': 0, 'playtime_at_review': 329, 'last_played': 1633537237}",2015,2021,9,8,Positive,good game excellent cut scenes realistic acting,76561197981733484,329.0,5.48,Experienced Player
129110,129495,2020-11-19 16:46:09,Sekiro: Shadows Die Twice,I died more than twice. 0/10,True,0.5,english,"{'steamid': '76561198155127934', 'num_games_owned': 0, 'num_reviews': 4, 'playtime_forever': 2700, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2668, 'last_played': 1652353993}",2019,2020,11,19,Negative,i died more than twice,76561198155127934,2668.0,44.47,Experienced Player
122897,123282,2022-05-30 06:39:10,Sekiro: Shadows Die Twice,best game there is for a good grind,True,0.5,english,"{'steamid': '76561198330646573', 'num_games_owned': 0, 'num_reviews': 4, 'playtime_forever': 3875, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3326, 'last_played': 1710046430}",2019,2022,5,30,Positive,best game there is for a good grind,76561198330646573,3326.0,55.43,Experienced Player
